,C,A,B,N,M,R,G,H,D
667,2,0,0,0,0,0,0,0,0
668,3,0,1,0,0,0,0,0,0
669,2,0,0,1,0,0,0,0,0
670,3,1,0,0,0,0,0,0,0
671,0,2,0,0,0,0,0,0,0
672,2,0,0,0,0,0,0,0,0
673,1,1,0,0,0,0,0,0,0
674,2,2,0,0,0,0,0,0,0
675,4,0,1,2,1,1,0,0,0
676,4,2,0,0,0,0,0,0,0
677,2,0,1,0,0,0,0,0,0
678,0,1,0,2,0,0,0,0,0
679,3,2,0,1,0,2,0,0,0
680,0,0,0,0,2,0,0,0,0
681,0,0,0,1,1,0,1,0,0
682,0,1,0,1,1,0,0,0,0
683,3,1,1,1,1,0,0,0,0
684,0,0,0,1,0,1,1,0,0
685,1,0,0,0,2,1,0,0,0
686,2,0,0,1,0,0,0,0,0
687,3,0,1,1,0,1,0,0,0
688,3,1,0,0,0,0,0,0,0
689,5,1,0,0,0,0,0,0,0
690,0,0,0,1,1,2,0,0,0
691,0,0,0,0,1,1,0,0,0
692,2,0,0,0,0,0,0,0,0
693,4,2,1,1,1,0,0,0,0
694,0,1,0,1,0,3,0,0,0
